['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.19', '14.5'], ['-259.0', '426.0', '606.5']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.5', '425.5', '606.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-258.0', '426.5', '607.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.18', '14.5'], ['-259.0', '424.0', '606.0']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.19', '14.5'], ['-257.0', '425.0', '606.5']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-257.0', '426.0', '601.0']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.2', '14.5'], ['-197.5', '413.0', '602.5']]
['1', ['31.29', '14.5'], ['41.5', '356.0', '602.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.51', '14.5'], ['10.5', '1508.5', '1471.5']]
['1', ['30.68', '14.5'], ['-93.0', '2303.0', '1675.5']]
